Chr	start	end	pid	gid	strand	Pheno211121	Pheno171012	Pheno200302	Pheno171115	Pheno170804	Pheno240104	Pheno220101	Pheno171310	Pheno171113	Pheno211133	Pheno170727	Pheno210103	Pheno220411	Pheno171303	Pheno220112	Pheno220402	Pheno200304	Pheno211125	Pheno170907	Pheno180108	Pheno220116	Pheno171112	Pheno220410
1	882081	1002223	ENSBTAG00000020035	ENSBTAG00000020035	+	6.728196	0.000000	2.774840	0.000000	0.0	5.242382	10.180407	12.354736	6.426428	4.063818	0.000000	0.000000	0.0	0.000000	4.458944	4.566316	5.430899	17.211536	9.613267	6.285753	0.000000	6.137318	0.000000
1	1643628	1651039	ENSBTAG00000018278	ENSBTAG00000018278	+	197.754578	98.353790	172.157639	98.441551	126.662643	150.597107	165.692322	130.918213	140.170715	125.994194	167.047501	140.651474	176.251999	161.093155	196.447235	138.811172	240.200409	187.313873	111.919579	150.475479	219.499420	144.884079	180.341537
1	1909498	1943914	ENSBTAG00000008490	ENSBTAG00000008490	+	6.893327	4.284131	14.579556	0.000000	0.000000	0.000000	10.639524	8.085162	0.000000	0.000000	4.957083	0.000000	0.000000	6.710328	11.465298	8.273998	0.000000	0.000000	0.000000	0.000000	0.000000	10.453446	0.000000
1	1942815	1954023	ENSBTAG00000035175	ENSBTAG00000035175	+	5.829298	2.732954	0.000000	4.408442	2.996729	6.870924	5.347173	8.076701	2.789540	3.789167	6.975698	2.790879	4.727065	7.638092	7.258996	0.000000	0.000000	5.162851	5.018380	0.000000	6.519249	1.354748	3.002311
1	1665339	1908788	ENSBTAG00000021997	ENSBTAG00000021997	-	15.608720	10.262655	10.294413	11.056869	13.677892	11.463817	9.038615	5.144014	4.213725	13.791925	12.625052	9.578170	9.991755	10.359159	5.941982	9.371381	8.970238	5.912218	12.201951	11.549709	10.376376	12.003710	16.606955
1	2028900	2030042	ENSBTAG00000009187	ENSBTAG00000009187	+	15.594961	4.138287	14.125384	30.201305	6.590087	6.305518	29.958927	17.058731	13.020489	11.628296	12.415665	20.254946	31.662024	4.305256	27.979361	13.940462	17.356215	34.851593	1.720545	45.391399	8.510221	12.349882	16.719152
1	2046733	2083566	ENSBTAG00000001258	ENSBTAG00000001258	+	0.000000	2.300893	9.971210	0.000000	10.708609	11.724766	28.494509	18.276989	4.870652	12.357582	17.702621	9.501056	4.222741	8.381641	7.376224	15.209258	6.054961	9.545430	2.452771	2.324316	7.097089	10.703649	12.443854
1	1985522	2012383	ENSBTAG00000009188	ENSBTAG00000009188	+	15.337201	16.544573	18.695591	14.193348	20.690111	20.478094	21.754368	18.450081	22.727575	12.501638	26.393372	13.061762	7.078621	25.980396	20.258211	21.984344	14.054746	33.393211	20.272736	16.083921	8.268214	17.455956	7.227636
1	1954230	1985068	ENSBTAG00000008482	ENSBTAG00000008482	-	41.401619	26.621130	32.182518	33.418602	30.860579	28.099216	32.388527	34.591320	33.476055	31.041088	32.923321	36.274380	21.686832	27.183043	45.916439	28.648544	44.645004	24.168922	26.296721	22.613884	27.261761	23.996880	34.137550
1	1978829	1978892	ENSBTAG00000052933	ENSBTAG00000052933	-	9.909901	12.815579	7.159605	15.988441	6.108738	3.753757	16.785391	10.619099	9.835626	7.615351	12.618233	13.123507	1.021615	9.707261	8.202559	10.798109	18.753746	9.130739	9.901219	12.853334	0.000000	9.930187	0.000000
