Chr	start	end	pid	gid	strand	Pheno171012	Pheno211121	Pheno171115	Pheno200302	Pheno170804	Pheno240104	Pheno220101	Pheno171310	Pheno171113	Pheno211133	Pheno170727	Pheno210103	Pheno220411	Pheno171303	Pheno220112	Pheno220402	Pheno211125	Pheno200304	Pheno170907	Pheno180108	Pheno220116	Pheno171112	Pheno220410
1	991023	1002223	ENSBTAT00000037243	ENSBTAG00000020035	+	0.000000	6.728196	0.000000	2.774840	0.0	5.242382	10.180407	12.354736	6.426428	4.063818	0.000000	0.000000	0.0	0.000000	4.458944	4.566316	17.211536	5.430899	9.613267	6.285753	0.000000	6.137318	0.000000
1	1390803	1454492	ENSBTAT00000081747	ENSBTAG00000012594	-	11.495723	0.0	3.630248	4.382204	16.886208	7.792102	0.000000	0.000000	0.000000	5.650480	9.000028	11.837787	0.000000	12.040955	2.428073	0.000000	0.000000	5.055373	0.0	11.554880	0.0	11.590653	4.234697
1	1643628	1651039	ENSBTAT00000024326	ENSBTAG00000018278	+	0.000000	197.754578	0.000000	172.157639	121.576988	150.597107	165.692322	130.918213	140.170715	125.994194	167.047501	140.651474	176.251999	161.093155	194.402710	138.811172	187.313873	238.873215	0.000000	150.475479	219.499420	144.884079	180.341537
1	1644436	1651039	ENSBTAT00000073708	ENSBTAG00000018278	+	98.353790	0.000000	98.441551	0.000000	5.085650	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.044512	0.000000	0.000000	1.327198	111.919579	0.000000	0.000000	0.000000	0.000000
1	1909498	1943914	ENSBTAT00000049681	ENSBTAG00000008490	+	4.284131	6.893327	0.000000	14.579556	0.000000	0.000000	10.639524	8.085162	0.000000	0.000000	4.957083	0.000000	0.000000	6.710328	11.465298	8.273998	0.000000	0.000000	0.000000	0.000000	0.000000	10.453446	0.000000
1	1942815	1954023	ENSBTAT00000049667	ENSBTAG00000035175	+	2.732954	5.829298	4.408442	0.000000	2.996729	6.870924	5.347173	8.076701	2.789540	3.789167	6.975698	2.790879	4.727065	7.638092	7.258996	0.000000	5.162851	0.000000	5.018380	0.000000	6.519249	1.354748	3.002311
1	2028900	2030042	ENSBTAT00000012106	ENSBTAG00000009187	+	4.138287	15.594961	30.201305	14.125384	6.590087	6.305518	29.958927	17.058731	13.020489	11.628296	12.415665	20.254946	31.662024	4.305256	27.979361	13.940462	34.851593	17.356215	1.720545	45.391399	8.510221	12.349882	16.719152
1	1665339	1908788	ENSBTAT00000029333	ENSBTAG00000021997	-	6.607958	7.022501	10.367184	10.294413	4.830015	9.034505	9.038615	5.144014	4.213725	8.772861	0.000000	4.989117	4.541136	10.359159	2.389006	7.262049	1.407303	4.822943	12.201951	6.580451	0.375719	7.734642	6.581640
1	1719091	1831775	ENSBTAT00000065213	ENSBTAG00000021997	-	3.654673	8.586219	0.689661	0.000000	8.847878	2.429311	0.000000	0.000000	0.000000	5.019064	12.625052	4.589053	5.450619	0.000000	3.552976	2.109332	4.504890	4.147295	0.000000	4.969259	10.000657	4.269068	10.025314
1	2046733	2083566	ENSBTAT00000001660	ENSBTAG00000001258	+	2.300893	0.000000	0.000000	9.971210	10.708609	11.724766	28.494509	18.276989	4.870652	12.357582	17.702621	9.501056	4.222741	8.381641	7.376224	15.209258	9.545430	6.054961	2.452771	2.324316	7.097089	10.703649	12.443854
